Method,Iteration,Number of Swaps,Nestedness,Number of Connected Components,Diameter,Average Shortest Path Length,Modularity,Codelength
Prediction,Prediction,235560,58.191327727576336,99,4,2.212529023941354,99,8.683096424191405
SM,Null iteration 1,235560,44.9160872433049,1,4,2.010024349276849,1,8.827711277969208
SM,Null iteration 2,235560,44.69260164851776,1,4,2.008785279208799,1,8.829312624084482
SM,Null iteration 3,235560,44.501557227219,1,4,2.010472443607751,1,8.827618143579548
SM,Null iteration 4,235560,44.83443301374237,1,4,2.00933952586547,1,8.828252250277178
SM,Null iteration 5,235560,44.7564930749419,1,4,2.008929007579088,1,8.82875670456359
SM,Null iteration 6,235560,44.85252377492246,1,4,2.009524587884732,1,8.828259778665727
SM,Null iteration 7,235560,44.94288597280534,1,4,2.0095076786646975,1,8.828209343626966
SM,Null iteration 8,235560,45.015749292306026,1,4,2.008945916799122,1,8.828923241483004
SM,Null iteration 9,235560,44.858803096188936,1,4,2.0094259507678665,1,8.828633467105531
SM,Null iteration 10,235560,44.808009111325454,1,4,2.0094005869378155,1,8.828266424562282
